"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"OSM_CD209","OSM","CD209",134,28,3.31004339046954e-06,8.58095413100003e-07,80,-3.81410206318223,0.00081,0.00546067415730337
"IL23A_ITGAM","IL23A","ITGAM",512,74,1.26473299695553e-05,2.26782359176429e-06,87,-3.81160207384952,0.01748,0.0648408037094281
"SEMA4D_CD209","SEMA4D","CD209",133,28,3.28534157412275e-06,8.58095413100003e-07,132,-3.80329534025422,8e-05,0.000834782608695652
"TNF_PILRA","TNF","PILRA",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.8017915862622,0.00053,0.0038780487804878
"CCL20_CD6","CCL20","CD6",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-3.80096805425769,0.00376,0.0193747323340471
"CD1D_IFNGR1","CD1D","IFNGR1",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.79908629167467,0,0
"CXCL12_FPR3","CXCL12","FPR3",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.79828821542022,0,0
"CXCL12_FPR1","CXCL12","FPR1",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.78985349358791,0,0
"RNASET2_CD209","RNASET2","CD209",1481,315,3.65833900095925e-05,9.65357339737504e-06,536,-3.78856641917787,1e-05,0.000141176470588235
"THBS1_BCR","THBS1","BCR",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.77922565900929,0.00042,0.00325161290322581
"CXCL14_ITGAV","CXCL14","ITGAV",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-3.77762146174589,0.0309,0.101728395061728
"IL1A_CXCR4","IL1A","CXCR4",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.76362137861484,0.00175,0.0103703703703704
"CXCL12_SIGLEC10","CXCL12","SIGLEC10",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.76188640689179,0,0
"TNF_IFNGR1","TNF","IFNGR1",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.76118181677687,0.00024,0.00203533568904594
"CXCL14_IL10RA","CXCL14","IL10RA",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-3.75900319336203,0.01278,0.0499543973941368
"THBS1_CD72","THBS1","CD72",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.74452148416384,1e-05,0.000141176470588235
