"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"LGALS9_ACVR2A","LGALS9","ACVR2A",518,259,1.27795839288196e-05,7.97793088696911e-06,520,0.00944595539656552,0.99834,1
"PDGFB_ACKR3","PDGFB","ACKR3",84,85,2.0723649614302e-06,2.61823986637982e-06,88,0.0100522561882435,0.99982,1
"CD93_IL10RB","CD93","IL10RB",570,638,1.40624765239907e-05,1.96522004088274e-05,576,0.0159212589767652,0.99956,1
"TNFSF14_PLAUR","TNFSF14","PLAUR",92,290,2.26973305299499e-06,8.93281836764881e-06,182,0.0178207824180674,0.99545,1
"PDGFB_IFNGR1","PDGFB","IFNGR1",84,85,2.0723649614302e-06,2.61823986637982e-06,88,0.0179574531280828,0.99987,1
"SEMA4A_NGFR","SEMA4A","NGFR",84,106,2.0723649614302e-06,3.26509912748543e-06,168,0.0256994330760799,0.9969,1
"APP_ITGA4","APP","ITGA4",208,123,5.13157038068432e-06,3.78874710076139e-06,262,0.0258606075587769,0.99995,1
"THBS1_SORT1","THBS1","SORT1",8918,4383,0.00022001608007184,0.000135008768639327,952,0.0326659513507362,1,1
"OSM_ERBB3","OSM","ERBB3",406,440,1.00164306469127e-05,1.35532416612603e-05,345,0.0330761483957937,0.99963,1
"LGALS9_CD74","LGALS9","CD74",518,259,1.27795839288196e-05,7.97793088696911e-06,520,0.0335834851080948,0.99938,1
"SEMA4D_ITGA3","SEMA4D","ITGA3",168,130,4.14472992286041e-06,4.00436685446326e-06,247,0.0359181599525124,0.99845,1
"APLP2_IL6ST","APLP2","IL6ST",1099,674,2.71134415787118e-05,2.07611019992941e-05,759,0.0380168316173458,1,1
"SEMA4A_TNFRSF12A","SEMA4A","TNFRSF12A",84,106,2.0723649614302e-06,3.26509912748543e-06,168,0.0425732481396836,0.99649,1
"KLRB1_TNFRSF14","KLRB1","TNFRSF14",111,89,2.73848227046134e-06,2.74145115420946e-06,105,0.0529357698525876,0.99997,1
"THBS1_EGFR","THBS1","EGFR",8918,4383,0.00022001608007184,0.000135008768639327,952,0.053085492414469,0.99968,1
"KLRB1_ADGRE5","KLRB1","ADGRE5",111,89,2.73848227046134e-06,2.74145115420946e-06,105,0.0535176197675494,0.99996,1
"B2M_IL1R1","B2M","IL1R1",41570,35581,0.0010255739457935,0.00109599520806659,1676,0.0554242034987273,0.99858,1
"LGALS9_SORT1","LGALS9","SORT1",518,259,1.27795839288196e-05,7.97793088696911e-06,520,0.0574674705734105,0.99998,1
"HBEGF_ACVR2A","HBEGF","ACVR2A",1290,668,3.1825604764821e-05,2.05762850675497e-05,630,0.0599948946461793,0.99392,1
"KLRB1_ACVR1B","KLRB1","ACVR1B",111,89,2.73848227046134e-06,2.74145115420946e-06,105,0.0607130917940372,0.99766,1
"LTB_CD36","LTB","CD36",123,192,3.03453440780851e-06,5.91414181582266e-06,159,0.0619537740099826,0.99868,1
"TNFSF12_NRP1","TNFSF12","NRP1",95,43,2.34374608733178e-06,1.32452134416862e-06,119,0.0685292801328752,0.99998,1
"SDC2_ADGRG6","SDC2","ADGRG6",179,260,4.41611104876198e-06,8.00873370892652e-06,264,0.0699506836598191,0.97756,1
"SDC2_ACVR1","SDC2","ACVR1",179,260,4.41611104876198e-06,8.00873370892652e-06,264,0.0699506844492403,0.98414,1
"APP_PLXNB2","APP","PLXNB2",208,123,5.13157038068432e-06,3.78874710076139e-06,262,0.0715547924594939,0.99991,1
"EREG_ERBB3","EREG","ERBB3",3897,4340,9.61429316034941e-05,0.000133684247295158,947,0.0723834639692334,0.99978,1
"LGALS9_EGFR","LGALS9","EGFR",518,259,1.27795839288196e-05,7.97793088696911e-06,520,0.0778870076934404,0.99736,1
"APLP2_ITGA4","APLP2","ITGA4",1099,674,2.71134415787118e-05,2.07611019992941e-05,759,0.0784149313788037,0.99994,1
"CD93_ERBB3","CD93","ERBB3",570,638,1.40624765239907e-05,1.96522004088274e-05,576,0.079646856103346,0.99953,1
"CD55_ITGAV","CD55","ITGAV",1814,1242,4.47532147623142e-05,3.82571048711028e-05,912,0.0830236962709257,1,1
"HBEGF_CD74","HBEGF","CD74",1290,668,3.1825604764821e-05,2.05762850675497e-05,630,0.0841324272755768,0.99985,1
"ITGB1_TNFRSF14","ITGB1","TNFRSF14",547,449,1.34950432607419e-05,1.38304670588769e-05,575,0.0867928247373878,0.99988,1
"KLRB1_ITGA3","KLRB1","ITGA3",111,89,2.73848227046134e-06,2.74145115420946e-06,105,0.0871853115123988,0.99909,1
"ITGB1_ADGRE5","ITGB1","ADGRE5",547,449,1.34950432607419e-05,1.38304670588769e-05,575,0.087374674178812,0.99968,1
"SEMA4D_PLXND1","SEMA4D","PLXND1",168,130,4.14472992286041e-06,4.00436685446326e-06,247,0.0882000612323225,1,1
"IL1A_NRP2","IL1A","NRP2",424,1093,1.04605088529334e-05,3.36674843994488e-05,343,0.0902009666510307,0.99901,1
"VEGFA_ADGRG6","VEGFA","ADGRG6",1079,1593,2.66200213497999e-05,4.90688953781536e-05,758,0.0934500597868573,0.99176,1
"VEGFA_ACVR1","VEGFA","ACVR1",1079,1593,2.66200213497999e-05,4.90688953781536e-05,758,0.0934500599604074,0.99644,1
"ITGB1_ACVR1B","ITGB1","ACVR1B",547,449,1.34950432607419e-05,1.38304670588769e-05,575,0.0945701665627045,0.98851,1
"EBI3_AXL","EBI3","AXL",74,72,1.82565484697423e-06,2.2178031809335e-06,108,0.100040177702855,0.99999,1
"SDC2_BSG","SDC2","BSG",179,260,4.41611104876198e-06,8.00873370892652e-06,264,0.105226168947178,0.99947,1
"HBEGF_SORT1","HBEGF","SORT1",1290,668,3.1825604764821e-05,2.05762850675497e-05,630,0.108016413155311,1,1
"OSM_ACKR3","OSM","ACKR3",406,440,1.00164306469127e-05,1.35532416612603e-05,345,0.109002535765373,0.99709,1
"IL15_ADGRG6","IL15","ADGRG6",73,109,1.80098383552863e-06,3.35750759335765e-06,156,0.109758378485782,0.97005,1
"IL15_ACVR1","IL15","ACVR1",73,109,1.80098383552863e-06,3.35750759335765e-06,156,0.109758381481874,0.98015,1
"CLCF1_NRP2","CLCF1","NRP2",21,55,5.18091240357551e-07,1.69415520765753e-06,62,0.113085955716127,0.99937,1
"OSM_IFNGR1","OSM","IFNGR1",406,440,1.00164306469127e-05,1.35532416612603e-05,345,0.116907734883422,0.99911,1
"ITGB1_ITGA3","ITGB1","ITGA3",547,449,1.34950432607419e-05,1.38304670588769e-05,575,0.121042381606032,0.99454,1
"APLP2_PLXNB2","APLP2","PLXNB2",1099,674,2.71134415787118e-05,2.07611019992941e-05,759,0.124109121048856,0.99989,1
"SEMA4A_TNFRSF1A","SEMA4A","TNFRSF1A",84,106,2.0723649614302e-06,3.26509912748543e-06,168,0.125463354864466,0.99972,1
"TGFB1_IL1R1","TGFB1","IL1R1",480,432,1.18420854938869e-05,1.3306819085601e-05,554,0.127856795021187,0.99956,1
"HBEGF_EGFR","HBEGF","EGFR",1290,668,3.1825604764821e-05,2.05762850675497e-05,630,0.128435951861121,0.99883,1
"VEGFA_BSG","VEGFA","BSG",1079,1593,2.66200213497999e-05,4.90688953781536e-05,758,0.128725536890248,1,1
"IL1B_CD36","IL1B","CD36",13198,21711,0.000325608009058998,0.000668760067517322,1273,0.137612634995681,0.99995,1
"CD80_NRP2","CD80","NRP2",42,112,1.0361824807151e-06,3.44991605922988e-06,125,0.139081192950213,0.98864,1
"KLRB1_PLXND1","KLRB1","PLXND1",111,89,2.73848227046134e-06,2.74145115420946e-06,105,0.139467225443767,1,1
"CD55_ADGRA2","CD55","ADGRA2",1814,1242,4.47532147623142e-05,3.82571048711028e-05,912,0.14358712336713,0.99999,1
