"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CD58_PLXNB2","CD58","PLXNB2",187,374,4.64673553410349e-06,1.14289583891794e-05,400,1.15755534760449,0.76917,1
"CD99_PLAUR","CD99","PLAUR",429,434,1.06601579900021e-05,1.32624811254114e-05,545,1.16240553173085,0.81578,1
"CD86_ICOS","CD86","ICOS",569,400,1.41389974272988e-05,1.22234849082132e-05,556,1.16253526185481,0.63395,1
"IL23A_ITGA4","IL23A","ITGA4",218,593,5.41704998093347e-06,1.81213163764261e-05,197,1.16405717649178,0.90633,1
"CD99_SIRPA","CD99","SIRPA",429,434,1.06601579900021e-05,1.32624811254114e-05,545,1.16608210471958,0.76231,1
"SEMA4A_TNFRSF14","SEMA4A","TNFRSF14",84,106,2.08730366237804e-06,3.23922350067651e-06,168,1.16691027147362,0.52319,1
"PLAU_LTBR","PLAU","LTBR",61,102,1.51578004053643e-06,3.11698865159438e-06,119,1.16743871124097,0.62356,1
"VEGFA_PLXND1","VEGFA","PLXND1",1079,1593,2.68119125203083e-05,4.86800286469592e-05,758,1.17337361802506,0.79748,1
"IL10_NRP2","IL10","NRP2",406,173,1.00886343681605e-05,5.28665722280223e-06,250,1.17374216489653,0.56527,1
"IL1A_CD74","IL1A","CD74",424,1093,1.05359137243844e-05,3.34006725116927e-05,343,1.1737656522251,0.94778,1
"EBI3_CCR1","EBI3","CCR1",74,72,1.83881513114256e-06,2.20022728347838e-06,108,1.17408739201925,0.64098,1
"GAS6_ACVR1B","GAS6","ACVR1B",67,49,1.66487315927772e-06,1.49737690125612e-06,102,1.17518465314919,0.67617,1
"EBI3_IL6ST","EBI3","IL6ST",74,72,1.83881513114256e-06,2.20022728347838e-06,108,1.17542141981686,0.64862,1
"SEMA4D_NRP1","SEMA4D","NRP1",168,130,4.17460732475607e-06,3.9726325951693e-06,247,1.17548283875354,0.82932,1
"ICAM4_PLXNB2","ICAM4","PLXNB2",37,75,9.19407565571278e-07,2.29190342028998e-06,96,1.17691774496776,0.9689,1
"KLRB1_FPR2","KLRB1","FPR2",111,89,2.75822269671383e-06,2.71972539207745e-06,105,1.17869081829718,0.99746,1
"TNFSF14_IFNGR1","TNFSF14","IFNGR1",92,290,2.28609448736642e-06,8.8620265584546e-06,182,1.17947308774571,0.76011,1
"F11R_NRP2","F11R","NRP2",105,45,2.60912957797255e-06,1.37514205217399e-06,135,1.18205607519932,0.96269,1
"CD47_FPR2","CD47","FPR2",343,276,8.52315662137698e-06,8.43420458666714e-06,415,1.18383343567778,0.83158,1
"CD93_LILRB2","CD93","LILRB2",570,638,1.41638462804224e-05,1.94964584286001e-05,576,1.18385007860801,0.97875,1
"VEGFA_SELL","VEGFA","SELL",1079,1593,2.68119125203083e-05,4.86800286469592e-05,758,1.18474742925745,0.81036,1
"PPIA_NRP2","PPIA","NRP2",2613,1122,6.4930053211831e-05,3.42868751675381e-05,1105,1.18481580292368,0.93814,1
"EBI3_ADGRE2","EBI3","ADGRE2",74,72,1.83881513114256e-06,2.20022728347838e-06,108,1.18504907701261,0.64242,1
"EBI3_IL1RAP","EBI3","IL1RAP",74,72,1.83881513114256e-06,2.20022728347838e-06,108,1.18820115039153,0.62739,1
