"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"IL1A_TNFRSF1A","IL1A","TNFRSF1A",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-4.01279106418478,0.03603,0.168030818181818
"CD55_CXCR4","CD55","CXCR4",698,80,1.72718648942269e-05,2.45186183047545e-06,342,-4.00049542788344,9e-05,0.00219857142857143
"CXCL14_ITGAV","CXCL14","ITGAV",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-3.99705514615529,0.00781,0.0562506293706294
"IL10_NRP2","IL10","NRP2",259,40,6.40890115702689e-06,1.22593091523773e-06,126,-3.98271508850377,0.00078,0.0106704
"TNF_ACVR1","TNF","ACVR1",1104,98,2.73182504917285e-05,3.00353074233243e-06,226,-3.97429506516398,0.01035,0.0659571428571429
"TNF_ADGRG6","TNF","ADGRG6",1104,98,2.73182504917285e-05,3.00353074233243e-06,226,-3.97429503193704,0.01997,0.108408571428571
"IL1A_IL10RB","IL1A","IL10RB",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-3.94932385311923,0.07067,0.270550074626866
"AREG_NRP2","AREG","NRP2",4111,652,0.000101725840372732,1.99826739183749e-05,509,-3.94438131545009,1e-04,0.00238604651162791
"TNF_BSG","TNF","BSG",1104,98,2.73182504917285e-05,3.00353074233243e-06,226,-3.93902003113175,0.00115,0.0130786813186813
"CXCL14_ADGRA2","CXCL14","ADGRA2",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-3.93649101752363,0.01025,0.0659571428571429
"EREG_ADGRE5","EREG","ADGRE5",5226,266,0.000129316283577693,8.15244058633088e-06,322,-3.93588844625881,0.03293,0.158620563380282
"EREG_ACVR1B","EREG","ACVR1B",5226,266,0.000129316283577693,8.15244058633088e-06,322,-3.92869277387312,0.09559,0.324752781456954
"THBS1_TNFRSF1A","THBS1","TNFRSF1A",5434,421,0.000134463200337004,1.29029228828771e-05,454,-3.91214167263996,4e-05,0.0014151724137931
"OSM_PLAUR","OSM","PLAUR",134,28,3.31580214301777e-06,8.58151640666409e-07,80,-3.90913326501052,0.00624,0.0481371428571429
"EREG_ITGA3","EREG","ITGA3",5226,266,0.000129316283577693,8.15244058633088e-06,322,-3.90222067372894,0.07059,0.270550074626866
"SEMA4D_PLAUR","SEMA4D","PLAUR",133,28,3.2910573509057e-06,8.58151640666409e-07,132,-3.89832651378334,0.0014,0.01512
"CXCL14_IL6ST","CXCL14","IL6ST",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-3.88320098876566,0.00967,0.0636646153846154
"CXCL12_CD36","CXCL12","CD36",204,21,5.04793759086288e-06,6.43613730499807e-07,137,-3.87248145154551,0,0
"THBS1_IL10RB","THBS1","IL10RB",5434,421,0.000134463200337004,1.29029228828771e-05,454,-3.84867516018571,0.0038,0.032763025210084
"PDGFB_PLAUR","PDGFB","PLAUR",334,73,8.26476056543236e-06,2.23732392030885e-06,162,-3.84428302673061,0.02199,0.115425
"EREG_IGF1R","EREG","IGF1R",5226,266,0.000129316283577693,8.15244058633088e-06,322,-3.84380405108097,0.04778,0.206974936708861
"TNF_LTBR","TNF","LTBR",1104,98,2.73182504917285e-05,3.00353074233243e-06,226,-3.83999420780302,0.008,0.0566068965517241
"ADM_PLAUR","ADM","PLAUR",122,27,3.0188646376729e-06,8.27503367785466e-07,82,-3.82624860480776,0.00099,0.0119498823529412
"APLP2_NRP2","APLP2","NRP2",882,152,2.18249066428483e-05,4.65853747790336e-06,479,-3.82454294991558,0,0
"KLRB1_CXCR4","KLRB1","CXCR4",208,27,5.14691675931117e-06,8.27503367785466e-07,131,-3.82089198634302,0.00541,0.0430283720930233
"CD58_NRP2","CD58","NRP2",214,37,5.29538551198361e-06,1.1339860965949e-06,169,-3.81984844576537,0.00028,0.00504
"IL1A_IFNGR1","IL1A","IFNGR1",692,50,1.71233961415545e-05,1.53241364404716e-06,125,-3.80176727504797,0.08529,0.30445125
"CXCL14_PLXNB2","CXCL14","PLXNB2",98,4,2.42498962698315e-06,1.22593091523773e-07,48,-3.79710556929901,0.02133,0.1139821875
"ITGB1_PLAUR","ITGB1","PLAUR",465,106,1.15063283321139e-05,3.24871692537998e-06,327,-3.78357057832611,0.00478,0.0386163779527559
"VEGFA_PLAUR","VEGFA","PLAUR",1030,236,2.54871358754351e-05,7.23299239990259e-06,339,-3.77619070547805,0.00767,0.0558114893617021
"CXCL12_ACVR1","CXCL12","ACVR1",204,21,5.04793759086288e-06,6.43613730499807e-07,137,-3.76058656944632,0,0
"CXCL12_ADGRG6","CXCL12","ADGRG6",204,21,5.04793759086288e-06,6.43613730499807e-07,137,-3.7605864160697,0,0
