"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CD52_IL10RA","CD52","IL10RA",659,104,1.6294301089211e-05,3.19999980307694e-06,294,-2.80474342424773,0.00967,0.0437381538461538
"VEGFA_SIGLEC10","VEGFA","SIGLEC10",1030,236,2.54675722638654e-05,7.26153801467458e-06,339,-2.80449066272039,0.04454,0.160839512195122
"CD58_BSG","CD58","BSG",214,37,5.29132083928854e-06,1.13846146840237e-06,169,-2.79742288895538,0.03093,0.120442649006623
"CXCL12_IL12RB1","CXCL12","IL12RB1",204,21,5.04406285614422e-06,6.46153806390535e-07,137,-2.79037347015431,0.00053,0.004869375
"CD55_IFNGR1","CD55","IFNGR1",698,80,1.72586072234738e-05,2.46153831005918e-06,342,-2.78912863286843,0.0048,0.0261633027522936
"ITGB1_TNFRSF13B","ITGB1","TNFRSF13B",465,106,1.14974962162111e-05,3.26153826082841e-06,327,-2.78396474577287,0.00147,0.0105409756097561
"APP_ITGAL","APP","ITGAL",122,22,3.01654739436076e-06,6.76923035266275e-07,117,-2.78226525926076,0.00146,0.0105409756097561
"IL10_TNFRSF10A","IL10","TNFRSF10A",259,40,6.403981763438e-06,1.23076915502959e-06,126,-2.78067415171155,0.16466,0.440091272727273
"IL23A_NCR3","IL23A","NCR3",512,74,1.26596087369894e-05,2.27692293680474e-06,87,-2.77959116479383,0.29727,0.672213181818182
"VEGFA_TNFRSF13B","VEGFA","TNFRSF13B",1030,236,2.54675722638654e-05,7.26153801467458e-06,339,-2.77658417420683,0.02254,0.0926508333333333
"ICAM2_IFNGR1","ICAM2","IFNGR1",103,12,2.54675722638654e-06,3.69230746508877e-07,98,-2.76550735548656,0.00367,0.0227153684210526
"KLRB1_CD2","KLRB1","CD2",208,27,5.14296604940195e-06,8.30769179644974e-07,131,-2.75172046392279,0.44176,0.848872156862745
"CD52_TNFRSF10A","CD52","TNFRSF10A",659,104,1.6294301089211e-05,3.19999980307694e-06,294,-2.74949252176561,0.02541,0.10164
