"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"SPP1_IL27RA","SPP1","IL27RA",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.36743182817946,1e-05,0.000109339622641509
"TNF_NRP2","TNF","NRP2",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,4.37959049320921,0,0
"SPP1_MERTK","SPP1","MERTK",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.38254193558864,0,0
"INHBA_NRP2","INHBA","NRP2",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,4.39085379695402,0,0
"CD274_FPR3","CD274","FPR3",29,288,7.15138561055399e-07,8.84369433539269e-06,174,4.4138929010545,0,0
"CD274_ITGAV","CD274","ITGAV",29,288,7.15138561055399e-07,8.84369433539269e-06,174,4.41721684145442,0,0
"SPP1_AXL","SPP1","AXL",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.41866094069662,0,0
"SPP1_ACVR1B","SPP1","ACVR1B",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.46053725382738,0.00028,0.00226409302325581
"SPP1_TNFRSF14","SPP1","TNFRSF14",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.4690761821159,0,0
"SPP1_BSG","SPP1","BSG",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.50493899540477,0,0
"SPP1_CD209","SPP1","CD209",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.51757618534938,0,0
"SPP1_PILRA","SPP1","PILRA",119,1762,2.93453409536526e-06,5.41062132602844e-05,150,4.53489214609959,0,0
