"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"INHBA_IL6ST","INHBA","IL6ST",221,41,5.43644105477288e-06,1.26039375254173e-06,95,-1.09123226822549,0.99999,1
"APOE_CD74","APOE","CD74",1113,548,2.7378999520191e-05,1.68462384486065e-05,192,-1.09043035743398,0.57353,1
"CD47_ITGAM","CD47","ITGAM",197,66,4.84605831579302e-06,2.02892652848181e-06,194,-1.08995262492576,0.89584,1
"RNASET2_LILRB2","RNASET2","LILRB2",1481,315,3.64315348512156e-05,9.683512976845e-06,536,-1.08772524013052,0.99804,1
"CD99_CALCRL","CD99","CALCRL",207,51,5.0920511237013e-06,1.56780686291776e-06,182,-1.08651924813523,0.95763,1
"ANXA1_PLAUR","ANXA1","PLAUR",1234,241,3.03555124958812e-05,7.40865596006236e-06,477,-1.08638217877138,0.99915,1
"B2M_CLEC2D","B2M","CLEC2D",32466,9518,0.000798640250155006,0.000292595798455907,849,-1.08512050215425,0.89686,1
"CCL3_PILRA","CCL3","PILRA",4991,1343,0.00012277501042702,4.12855807235011e-05,495,-1.08486509893281,1,1
"VEGFB_CALCRL","VEGFB","CALCRL",158,39,3.88668636495075e-06,1.19891113046652e-06,143,-1.0838340241056,0.87792,1
"B2M_FPR1","B2M","FPR1",32466,9518,0.000798640250155006,0.000292595798455907,849,-1.08348943277904,0.9941,1
"APP_ADGRE5","APP","ADGRE5",122,22,3.00111225648096e-06,6.7630884282727e-07,117,-1.08286814318835,0.98798,1
"ANXA1_SIRPA","ANXA1","SIRPA",1234,241,3.03555124958812e-05,7.40865596006236e-06,477,-1.08270535950908,0.99657,1
"CD99_TNFRSF1A","CD99","TNFRSF1A",207,51,5.0920511237013e-06,1.56780686291776e-06,182,-1.08262022295209,0.99978,1
"INHBA_ADGRE2","INHBA","ADGRE2",221,41,5.43644105477288e-06,1.26039375254173e-06,95,-1.08160510399344,1,1
"CCL5_CALCRL","CCL5","CALCRL",182,45,4.47706910393061e-06,1.38335899669214e-06,129,-1.08139826861124,0.94536,1
"VEGFB_TNFRSF1A","VEGFB","TNFRSF1A",158,39,3.88668636495075e-06,1.19891113046652e-06,143,-1.07993692679288,0.9867,1
"INHBA_IL1RAP","INHBA","IL1RAP",221,41,5.43644105477288e-06,1.26039375254173e-06,95,-1.07845167011621,0.99998,1
"IL23A_IL6R","IL23A","IL6R",512,74,1.25948317649037e-05,2.27485701678263e-06,87,-1.07787629620877,0.9999,1
"CCL5_TNFRSF1A","CCL5","TNFRSF1A",182,45,4.47706910393061e-06,1.38335899669214e-06,129,-1.07750006214504,0.99734,1
"APP_IL10RA","APP","IL10RA",122,22,3.00111225648096e-06,6.7630884282727e-07,117,-1.07494516427683,0.98951,1
"IL10_FPR2","IL10","FPR2",259,40,6.37121372482433e-06,1.22965244150413e-06,126,-1.07333855625167,0.95,1
"PPIA_CCR1","PPIA","CCR1",2143,404,5.27162587347434e-05,1.24194896591917e-05,695,-1.0694205547109,0.99841,1
"PPIA_IL6ST","PPIA","IL6ST",2143,404,5.27162587347434e-05,1.24194896591917e-05,695,-1.06808692025823,0.99989,1
"IL1RN_CD74","IL1RN","CD74",277,139,6.81400077905922e-06,4.27304223422684e-06,113,-1.0630256536418,0.93735,1
"CD93_PILRA","CD93","PILRA",398,109,9.79051375474935e-06,3.35080290309875e-06,258,-1.05943566138553,0.99952,1
"LTB_CXCR4","LTB","CXCR4",92,70,2.26313383275613e-06,2.15189177263222e-06,97,-1.05857816311641,0.99999,1
"PPIA_ADGRE2","PPIA","ADGRE2",2143,404,5.27162587347434e-05,1.24194896591917e-05,695,-1.05845956842745,0.99994,1
"CD86_PILRA","CD86","PILRA",456,125,1.12172720406173e-05,3.8426638797004e-06,342,-1.05810111395751,0.99998,1
"CD58_ITGAL","CD58","ITGAL",214,37,5.26424608923709e-06,1.13742850839132e-06,169,-1.05556172339559,0.99946,1
"PPIA_IL1RAP","PPIA","IL1RAP",2143,404,5.27162587347434e-05,1.24194896591917e-05,695,-1.05530663330448,0.99877,1
"IGF1_CLEC2D","IGF1","CLEC2D",406,122,9.98730800107597e-06,3.75043994658759e-06,216,-1.04951848740973,0.84531,1
"IGF1_FPR1","IGF1","FPR1",406,122,9.98730800107597e-06,3.75043994658759e-06,216,-1.0478886378287,0.94823,1
"TGFB1_PILRA","TGFB1","PILRA",397,110,9.76591447395852e-06,3.38154421413635e-06,313,-1.04263085213395,0.99999,1
"CD52_FPR2","CD52","FPR2",659,104,1.62109260411553e-05,3.19709634791073e-06,294,-1.04215370009143,0.99996,1
"INHBA_ADGRE5","INHBA","ADGRE5",221,41,5.43644105477288e-06,1.26039375254173e-06,95,-1.04191324979191,1,1
"ANXA1_CD2","ANXA1","CD2",1234,241,3.03555124958812e-05,7.40865596006236e-06,477,-1.0417305523711,0.95608,1
