"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CD93_ITGA4","CD93","ITGA4",570,638,1.41422042302509e-05,1.96204543051613e-05,576,0.767347584265313,0.99999,1
"CD58_IL10RA","CD58","IL10RA",187,374,4.63963542290686e-06,1.15016456271635e-05,400,0.76771394241173,0.99156,1
"ITGB1_CXCR3","ITGB1","CXCR3",547,449,1.35715538841179e-05,1.38081253652311e-05,575,0.772394004951241,0.93979,1
"SELPLG_FLT1","SELPLG","FLT1",111,72,2.75400819220675e-06,2.21422054854485e-06,153,0.780647692364652,0.97491,1
"NCR3LG1_IL12RB1","NCR3LG1","IL12RB1",78,102,1.93524899992907e-06,3.13681244377187e-06,128,0.785500930113123,0.99822,1
"ICAM4_IL10RA","ICAM4","IL10RA",37,75,9.18002730735582e-07,2.30647973806755e-06,96,0.787078333000336,0.9957,1
"CXCL9_TNFRSF13B","CXCL9","TNFRSF13B",265,766,6.57488442283593e-06,2.35568463914632e-05,246,0.789316992921394,0.89783,1
"VEGFA_IFNGR1","VEGFA","IFNGR1",1079,1593,2.67709444990187e-05,4.89896296365548e-05,758,0.806841000804746,0.99153,1
"B2M_CD72","B2M","CD72",41570,35581,0.00103138847342373,0.00109422474080242,1676,0.808739620233418,0.99969,1
"CD58_TNFRSF10A","CD58","TNFRSF10A",187,374,4.63963542290686e-06,1.15016456271635e-05,400,0.822963566588897,0.96805,1
"ICAM1_NCR3","ICAM1","NCR3",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,0.827338073661598,0.98622,1
"ITGAV_NCR3","ITGAV","NCR3",81,152,2.00968165377249e-06,4.67446560248357e-06,181,0.827794024487191,0.97588,1
"B2M_CXCR3","B2M","CXCR3",41570,35581,0.00103138847342373,0.00109422474080242,1676,0.832785075356903,0.78509,1
"ICAM4_TNFRSF10A","ICAM4","TNFRSF10A",37,75,9.18002730735582e-07,2.30647973806755e-06,96,0.842326980003272,0.98754,1
"CCL20_FLT1","CCL20","FLT1",2854,1950,7.08102646897122e-05,5.99684731897563e-05,506,0.85563264702953,0.97682,1
