"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"ICAM3_ITGAM","ICAM3","ITGAM",186,101,4.59672760444655e-06,3.09364696011511e-06,222,-1.95354509811108,0.23212,0.754486878130217
"IL18_CD72","IL18","CD72",340,95,8.40262035221412e-06,2.90986595258352e-06,294,-1.94546094527689,0.23905,0.771857960199005
"RNASET2_MERTK","RNASET2","MERTK",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-1.93466201869944,0.37726,1
"VEGFB_ITGAL","VEGFB","ITGAL",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-1.93413540303933,0.73329,1
"HEBP1_MERTK","HEBP1","MERTK",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-1.92768335315194,0.31186,0.937023796296296
"KLRB1_CD209","KLRB1","CD209",111,89,2.7432084091052e-06,2.72608494505193e-06,105,-1.92562098263207,0.4425,1
"CD1D_CXCR3","CD1D","CXCR3",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-1.92072618762201,0.49068,1
"CD47_CD209","CD47","CD209",343,276,8.47676112002777e-06,8.45392634645317e-06,415,-1.92048777038875,0.15672,0.557133339416058
"VEGFB_ITGA4","VEGFB","ITGA4",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-1.92034758098426,0.86404,1
"VEGFB_LTBR","VEGFB","LTBR",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-1.9193990070925,0.80899,1
"CD1D_SELL","CD1D","SELL",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-1.91773430723316,0.4863,1
"ANXA1_ITGAM","ANXA1","ITGAM",2459,1373,6.07707160179251e-05,4.20552205568123e-05,990,-1.91335410268115,0.20756,0.690212331340734
"SELPLG_CSF3R","SELPLG","CSF3R",111,72,2.7432084091052e-06,2.20537209037909e-06,153,-1.91312060253239,0.17657,0.609071266607617
"ITGB1_CD209","ITGB1","CD209",547,449,1.35183333313562e-05,1.37529453969474e-05,575,-1.89177449935347,0.32124,0.959882944785276
"VEGFB_CALCRL","VEGFB","CALCRL",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-1.88975520661528,0.79598,1
"LGALS3_CD209","LGALS3","CD209",1287,1058,3.18063893920576e-05,3.24067176614038e-05,896,-1.88962302546472,0.11007,0.423112122408687
"RNASET2_ADGRE2","RNASET2","ADGRE2",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-1.88710211885535,0.15072,0.540642099447514
"RNASET2_CCR1","RNASET2","CCR1",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-1.88525028331761,0.24542,0.785263336072309
"RNASET2_IL12RB1","RNASET2","IL12RB1",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-1.88525028331761,0.23905,0.771857960199005
"IL10_IL1RAP","IL10","IL1RAP",406,173,1.00337172441145e-05,5.2990190504942e-06,250,-1.88143635538119,0.26438,0.833599773279352
"HEBP1_ADGRE2","HEBP1","ADGRE2",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-1.88013577272811,0.09038,0.362824453608247
"HEBP1_CCR1","HEBP1","CCR1",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-1.87827538996439,0.16636,0.581513321364452
"HEBP1_IL12RB1","HEBP1","IL12RB1",153,55,3.78117915849635e-06,1.68465923570625e-06,187,-1.87827538996439,0.16131,0.567939547920434
"RNASET2_AXL","RNASET2","AXL",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-1.87694809817965,0.17474,0.604833386666667
"CD1D_CD2","CD1D","CD2",346,41,8.55090188784143e-06,1.2558368847992e-06,251,-1.87667026837711,0.54051,1
"VEGFB_PLXNB2","VEGFB","PLXNB2",137,26,3.38576173015687e-06,7.96384365970227e-07,129,-1.87525037867424,0.82785,1
"F11R_IL1RAP","F11R","IL1RAP",105,45,2.59492687347789e-06,1.37835755648693e-06,135,-1.8731076960437,0.26949,0.842210321027287
"RNASET2_TNFRSF21","RNASET2","TNFRSF21",1420,508,3.50932967651296e-05,1.55601253043413e-05,800,-1.87095582312202,0.17659,0.609071266607617
