"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CD99_ADGRG6","CD99","ADGRG6",207,51,5.10857082696582e-06,1.55257536177974e-06,182,-1.57664397566346,0.56651,1
"VEGFB_ADGRG6","VEGFB","ADGRG6",158,39,3.89929560705604e-06,1.18726351194921e-06,143,-1.57395899503338,0.43902,1
"OSM_IL12RB1","OSM","IL12RB1",134,28,3.30699754016145e-06,8.5239431627123e-07,80,-1.57358369455731,0.65609,1
"CCL5_ADGRG6","CCL5","ADGRG6",182,45,4.49159367395062e-06,1.36991943686448e-06,129,-1.57152309236325,0.70299,1
"CD99_TNFRSF1A","CD99","TNFRSF1A",207,51,5.10857082696582e-06,1.55257536177974e-06,182,-1.5702225174687,0.64971,1
"IL1B_NRP1","IL1B","NRP1",7883,1070,0.000194545235888752,3.2573639943222e-05,493,-1.56936024464105,0.98198,1
"IL10_FPR3","IL10","FPR3",259,40,6.39188330523743e-06,1.21770616610176e-06,126,-1.56887938474853,0.9971,1
"VEGFB_TNFRSF1A","VEGFB","TNFRSF1A",158,39,3.89929560705604e-06,1.18726351194921e-06,143,-1.56753901123008,0.42094,1
"ANXA1_ITGAL","ANXA1","ITGAL",1234,241,3.04539922728301e-05,7.33667965076309e-06,477,-1.56564937475286,0.38968,0.973366887417219
"IL10_ITGAV","IL10","ITGAV",259,40,6.39188330523743e-06,1.21770616610176e-06,126,-1.5655479654476,0.97019,1
"CCL5_TNFRSF1A","CCL5","TNFRSF1A",182,45,4.49159367395062e-06,1.36991943686448e-06,129,-1.56510226586868,0.80691,1
"CCL3_CD74","CCL3","CD74",4991,1343,0.000123173318827954,4.08844845268665e-05,495,-1.56480664029256,0.93681,1
"SEMA4D_IL12RB1","SEMA4D","IL12RB1",133,28,3.28231845404084e-06,8.5239431627123e-07,132,-1.56277696662391,0.74002,1
"TGFB1_IL10RA","TGFB1","IL10RA",397,110,9.79759718988131e-06,3.34869195677983e-06,313,-1.56245468533447,0.81597,1
"CD47_PLAUR","CD47","PLAUR",197,66,4.86177996575974e-06,2.0092151740679e-06,194,-1.56242166044612,0.51443,1
"RNASET2_PILRA","RNASET2","PILRA",1481,315,3.65497265446202e-05,9.58943605805134e-06,536,-1.56238584999226,0.68371,1
"B2M_IL6ST","B2M","IL6ST",32466,9518,0.000801231209991654,0.000289753182223913,849,-1.5612665072051,0.41491,1
"APOE_CXCR4","APOE","CXCR4",1113,548,2.74678228522365e-05,1.66825744755941e-05,192,-1.56000583051288,0.13074,0.470413779904306
"PPIA_IL10RB","PPIA","IL10RB",2143,404,5.28872815564626e-05,1.22988322776278e-05,695,-1.55968316684454,0.83629,1
"CD48_PLXNB2","CD48","PLXNB2",698,141,1.72260021121843e-05,4.2924142355087e-06,392,-1.55911339532433,0.74479,1
"ICAM1_SIRPA","ICAM1","SIRPA",1564,377,3.85980906926306e-05,1.14768806155091e-05,373,-1.55475321589816,0.9849,1
"CCL3_IL1RAP","CCL3","IL1RAP",4991,1343,0.000123173318827954,4.08844845268665e-05,495,-1.55406307221409,0.76251,1
"INHBA_ITGAM","INHBA","ITGAM",221,41,5.45407803265433e-06,1.2481488202543e-06,95,-1.55322659218208,0.90212,1
"CD93_TNFRSF21","CD93","TNFRSF21",398,109,9.82227627600192e-06,3.31824930262729e-06,258,-1.55276087693863,0.87382,1
"CD58_TNFRSF10A","CD58","TNFRSF10A",214,37,5.28132442981008e-06,1.12637820364413e-06,169,-1.55225775859584,0.84397,1
"OSM_ADGRE5","OSM","ADGRE5",134,28,3.30699754016145e-06,8.5239431627123e-07,80,-1.55060801669379,0.71458,1
"LRPAP1_SIRPA","LRPAP1","SIRPA",277,67,6.83610685540837e-06,2.03965782822044e-06,209,-1.54980141090201,0.65815,1
"HEBP1_SIGLEC1","HEBP1","SIGLEC1",113,15,2.78873673162868e-06,4.56639812288159e-07,108,-1.54925463277935,0.69556,1
"PRNP_IL6R","PRNP","IL6R",244,87,6.02169701342831e-06,2.64851091127132e-06,229,-1.54898648603923,0.81225,1
"RNASET2_IL12RB1","RNASET2","IL12RB1",1481,315,3.65497265446202e-05,9.58943605805134e-06,536,-1.54800381084502,0.6239,1
"IGF1_CD36","IGF1","CD36",406,122,1.00197089649668e-05,3.71400380661036e-06,216,-1.54657279849663,0.46021,1
"CCL3_FPR1","CCL3","FPR1",4991,1343,0.000123173318827954,4.08844845268665e-05,495,-1.5451414224976,0.79324,1
"SEMA4D_ADGRE5","SEMA4D","ADGRE5",133,28,3.28231845404084e-06,8.5239431627123e-07,132,-1.53980126685178,0.86129,1
"CD93_CD74","CD93","CD74",398,109,9.82227627600192e-06,3.31824930262729e-06,258,-1.53937733345137,0.99735,1
"CD52_FPR3","CD52","FPR3",659,104,1.62635177534806e-05,3.16603603186457e-06,294,-1.53769444646016,0.97483,1
"ITGB1_ACVR1B","ITGB1","ACVR1B",465,106,1.14757750460826e-05,3.22692134016966e-06,327,-1.53674750154903,0.81194,1
"TGFB1_TNFRSF21","TGFB1","TNFRSF21",397,110,9.79759718988131e-06,3.34869195677983e-06,313,-1.53595608403037,0.74852,1
"ADM_BSG","ADM","BSG",122,27,3.01084850671416e-06,8.21951662118686e-07,82,-1.53503937145712,0.39429,0.980725733186328
"B2M_LTBR","B2M","LTBR",32466,9518,0.000801231209991654,0.000289753182223913,849,-1.53437443654512,0.45727,1
"CD52_ITGAV","CD52","ITGAV",659,104,1.62635177534806e-05,3.16603603186457e-06,294,-1.53436390092607,0.90367,1
"ICAM1_MERTK","ICAM1","MERTK",1564,377,3.85980906926306e-05,1.14768806155091e-05,373,-1.5341918383762,0.95068,1
"IL1RN_CXCR4","IL1RN","CXCR4",277,139,6.83610685540837e-06,4.23152892720361e-06,113,-1.53260107186159,0.99993,1
"CD58_CCR6","CD58","CCR6",214,37,5.28132442981008e-06,1.12637820364413e-06,169,-1.53120043093901,0.86284,1
"PPIA_ITGAM","PPIA","ITGAM",2143,404,5.28872815564626e-05,1.22988322776278e-05,695,-1.5300842676075,0.77327,1
"VEGFA_ACVR1B","VEGFA","ACVR1B",1030,236,2.54194587042261e-05,7.18446638000037e-06,339,-1.52936905084923,0.84184,1
"LGALS3_IL10RA","LGALS3","IL10RA",1044,296,2.57649659099146e-05,9.01102562915301e-06,412,-1.52927212138932,0.83021,1
"LRPAP1_MERTK","LRPAP1","MERTK",277,67,6.83610685540837e-06,2.03965782822044e-06,209,-1.5292397793139,0.64283,1
"CD93_IL1RAP","CD93","IL1RAP",398,109,9.82227627600192e-06,3.31824930262729e-06,258,-1.52863251608038,0.87479,1
"IGF1_IL6ST","IGF1","IL6ST",406,122,1.00197089649668e-05,3.71400380661036e-06,216,-1.52566539318505,0.48638,1
"CXCL12_TREM2","CXCL12","TREM2",204,21,5.034533568604e-06,6.39295737203423e-07,137,-1.5252569306916,0.36905,0.942895583238958
"RNASET2_ADGRE5","RNASET2","ADGRE5",1481,315,3.65497265446202e-05,9.58943605805134e-06,536,-1.52502285206959,0.7448,1
"CD99_SIRPA","CD99","SIRPA",207,51,5.10857082696582e-06,1.55257536177974e-06,182,-1.52320979572465,0.70931,1
"TGFB1_CD74","TGFB1","CD74",397,110,9.79759718988131e-06,3.34869195677983e-06,313,-1.52257252136138,0.96515,1
