"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"TGM2_SIRPA","TGM2","SIRPA",64,91,1.58626382769725e-06,2.7880512701182e-06,122,0.204203791823642,0.99836,1
"GAS6_ADGRE5","GAS6","ADGRE5",67,49,1.66061994462056e-06,1.50125837621749e-06,102,0.205655083856437,0.98998,1
"CD55_TNFRSF25","CD55","TNFRSF25",1814,1242,4.49606653662938e-05,3.80523041482067e-05,912,0.212672929285533,1,1
"TNFSF10_ACKR1","TNFSF10","ACKR1",240,227,5.94848935386468e-06,6.95480921227288e-06,286,0.214087454183223,1,1
"SEMA4D_IL6ST","SEMA4D","IL6ST",168,130,4.16394254770527e-06,3.98293038588315e-06,247,0.223063863590031,1,1
"PRNP_ACKR3","PRNP","ACKR3",284,505,7.03904573540653e-06,1.54721526528538e-05,434,0.225252337002441,0.99699,1
"KLRB1_LTBR","KLRB1","LTBR",111,89,2.75117632616241e-06,2.72677541802769e-06,105,0.225986259537538,1,1
"SEMA4D_TNFRSF10A","SEMA4D","TNFRSF10A",168,130,4.16394254770527e-06,3.98293038588315e-06,247,0.227005854575504,1,1
"CD93_ACVR1B","CD93","ACVR1B",570,638,1.41276622154286e-05,1.95469968168727e-05,576,0.228049346873769,0.99884,1
"PRNP_CLEC2D","PRNP","CLEC2D",284,505,7.03904573540653e-06,1.54721526528538e-05,434,0.228460644526515,0.99942,1
"CD47_LTBR","CD47","LTBR",343,276,8.50138270156493e-06,8.45606758849037e-06,415,0.231128471510784,1,1
"TGFB1_NRP1","TGFB1","NRP1",480,432,1.18969787077294e-05,1.32355840515501e-05,554,0.232946549120079,1,1
"TNFSF10_CD74","TNFSF10","CD74",240,227,5.94848935386468e-06,6.95480921227288e-06,286,0.234135364236884,1,1
"SDC2_SIRPA","SDC2","SIRPA",179,260,4.43658164309074e-06,7.96586077176629e-06,264,0.23496144416426,0.95125,1
"TNFSF10_ADGRG1","TNFSF10","ADGRG1",240,227,5.94848935386468e-06,6.95480921227288e-06,286,0.237555820961268,1,1
"SEMA4D_PLXND1","SEMA4D","PLXND1",168,130,4.16394254770527e-06,3.98293038588315e-06,247,0.239232208472277,1,1
"SEMA4A_ACVR2A","SEMA4A","ACVR2A",84,106,2.08197127385264e-06,3.24762016079703e-06,168,0.240806609487228,0.98458,1
"SEMA4A_IL10RB","SEMA4A","IL10RB",84,106,2.08197127385264e-06,3.24762016079703e-06,168,0.242800346432069,0.99954,1
"OSM_ADGRA2","OSM","ADGRA2",406,440,1.00628611569544e-05,1.34806874599122e-05,345,0.245438890096784,0.9985,1
"PRNP_IL1R1","PRNP","IL1R1",284,505,7.03904573540653e-06,1.54721526528538e-05,434,0.246265563850525,0.99999,1
"SEMA4A_CD2","SEMA4A","CD2",84,106,2.08197127385264e-06,3.24762016079703e-06,168,0.246683012774517,0.95031,1
"LRPAP1_SELP","LRPAP1","SELP",501,159,1.24174715261925e-05,4.87143024119554e-06,428,0.246883456199794,1,1
"TGM2_ACVR1","TGM2","ACVR1",64,91,1.58626382769725e-06,2.7880512701182e-06,122,0.246988103636773,0.99081,1
"KLRB1_PLXNB2","KLRB1","PLXNB2",111,89,2.75117632616241e-06,2.72677541802769e-06,105,0.24727719290271,1,1
"SEMA4A_PLAUR","SEMA4A","PLAUR",84,106,2.08197127385264e-06,3.24762016079703e-06,168,0.249294910634217,0.99497,1
"OSM_IL15RA","OSM","IL15RA",406,440,1.00628611569544e-05,1.34806874599122e-05,345,0.249497126443395,0.99948,1
